ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12123572,JD318135,08/02/2020 01:00:00 AM,036XX W DOUGLAS BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1011,010,24,29,14,1152111,1893208,2020,08/09/2020 03:49:41 PM,41.862830724,-87.717095148,"(41.862830724, -87.717095148)"
12189505,JD394766,10/10/2020 10:29:00 AM,083XX S BAKER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0424,004,10,46,08B,1198334,1849744,2020,10/17/2020 03:52:42 PM,41.742527775,-87.54887474,"(41.742527775, -87.54887474)"
11419152,JB400014,08/18/2018 10:00:00 PM,037XX W 13TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1011,010,24,29,06,1151649,1893786,2018,08/25/2018 03:59:23 PM,41.86442591,-87.718775924,"(41.86442591, -87.718775924)"
11403463,JB379917,08/05/2018 04:15:00 AM,017XX N LATROBE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2532,025,37,25,08B,1141129,1911002,2018,08/12/2018 03:59:11 PM,41.911868891,-87.756970639,"(41.911868891, -87.756970639)"
11476236,JB475246,10/14/2018 01:40:00 PM,031XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1134,011,24,27,08B,1155565,1896200,2018,10/21/2018 04:09:44 PM,41.870972358,-87.704335347,"(41.870972358, -87.704335347)"
11452789,JB442743,09/19/2018 10:15:00 AM,069XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0322,003,6,69,14,1177495,1859111,2018,09/26/2018 04:18:54 PM,41.768727829,-87.624945647,"(41.768727829, -87.624945647)"
11466068,JB461651,09/26/2018 06:30:00 AM,061XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0311,003,20,40,06,1179974,1864409,2018,10/06/2018 03:55:12 PM,41.783209684,-87.615696882,"(41.783209684, -87.615696882)"
11484923,JB472374,10/12/2018 08:01:00 AM,065XX S CLAREMONT AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,0832,008,16,66,18,,,2018,03/16/2019 04:01:20 PM,,,
11474553,JB471192,10/11/2018 08:20:00 AM,061XX S MICHIGAN AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,0311,003,20,40,03,1178207,1864473,2018,10/18/2018 04:27:18 PM,41.783425593,-87.622173294,"(41.783425593, -87.622173294)"
12154386,JD354092,09/02/2020 02:47:00 PM,075XX S BLACKSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0411,004,8,43,08B,1187518,1855095,2020,09/09/2020 03:50:49 PM,41.757475162,-87.588334258,"(41.757475162, -87.588334258)"
11842832,JC450811,09/11/2019 12:00:00 AM,011XX W DIVERSEY PKWY,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1935,019,43,7,11,1168138,1918746,2019,10/02/2019 04:13:24 PM,41.932577941,-87.657523394,"(41.932577941, -87.657523394)"
11913557,JC536997,10/23/2019 11:00:00 AM,001XX N MICHIGAN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,ATM (AUTOMATIC TELLER MACHINE),false,false,0111,001,42,32,11,1177270,1901551,2019,12/11/2019 03:55:23 PM,41.885191719,-87.624486846,"(41.885191719, -87.624486846)"
11413943,JB393510,08/14/2018 04:30:00 PM,001XX S CLINTON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0121,001,2,28,06,1172751,1899651,2018,08/21/2018 04:05:53 PM,41.880079229,-87.64113751,"(41.880079229, -87.64113751)"
12198033,JD403854,10/19/2020 03:11:00 AM,003XX S LOOMIS ST,0560,ASSAULT,SIMPLE,CHA PARKING LOT / GROUNDS,false,true,1231,012,27,28,08A,,,2020,10/26/2020 03:50:27 PM,,,
11841332,JC448901,09/26/2019 08:35:00 AM,004XX N HAMLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,false,false,1122,011,37,23,14,1150976,1902769,2019,10/03/2019 04:17:36 PM,41.889089448,-87.721011251,"(41.889089448, -87.721011251)"
12179982,JD383799,09/30/2020 01:25:00 AM,097XX S AVENUE M,1020,ARSON,BY FIRE,RESIDENCE - GARAGE,false,false,0432,004,10,52,09,1201464,1841038,2020,11/03/2020 03:48:30 PM,41.718559011,-87.537701535,"(41.718559011, -87.537701535)"
11842750,JC450621,09/27/2019 11:41:00 AM,005XX W 125TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0523,005,34,53,11,1174634,1822002,2019,10/04/2019 04:08:55 PM,41.666959724,-87.636533487,"(41.666959724, -87.636533487)"
