ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11863151,JC475462,10/16/2019 08:32:00 PM,005XX E 43RD ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,0214,002,4,38,04B,1180758,1876625,2019,06/26/2020 03:54:09 PM,41.816713456,-87.612446891,"(41.816713456, -87.612446891)"
11863192,JC475532,10/16/2019 08:45:00 PM,042XX W 81ST ST,031A,ROBBERY,ARMED: HANDGUN,DRIVEWAY - RESIDENTIAL,false,false,0834,008,18,70,03,1149747,1850531,2019,10/23/2019 04:17:05 PM,41.745764962,-87.726878606,"(41.745764962, -87.726878606)"
11862266,JC474356,10/16/2019 03:23:00 AM,007XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0732,007,6,68,15,1172659,1857797,2019,10/23/2019 04:17:05 PM,41.765229986,-87.642710626,"(41.765229986, -87.642710626)"
11862546,JC474574,10/16/2019 08:56:00 AM,040XX W WILCOX ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,true,false,1115,011,28,26,15,1149455,1899029,2019,10/23/2019 04:17:05 PM,41.878856126,-87.726694102,"(41.878856126, -87.726694102)"
11863150,JC475535,10/16/2019 09:28:00 PM,068XX S WESTERN AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,0832,008,17,66,26,1161556,1859189,2019,10/23/2019 04:17:05 PM,41.769287256,-87.683368075,"(41.769287256, -87.683368075)"
11863078,JC475046,10/16/2019 02:40:00 PM,027XX W 42ND ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0921,009,12,58,15,1158590,1876692,2019,10/23/2019 04:17:05 PM,41.817378865,-87.693762817,"(41.817378865, -87.693762817)"
11863191,JC475475,10/16/2019 07:53:00 PM,028XX N BROADWAY,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,1934,019,44,6,03,1171679,1919247,2019,10/23/2019 04:17:05 PM,41.933875377,-87.644495911,"(41.933875377, -87.644495911)"
11863286,JC475614,10/16/2019 11:21:00 PM,015XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0734,007,17,67,15,1167122,1857640,2019,10/23/2019 04:17:05 PM,41.76491936,-87.663009905,"(41.76491936, -87.663009905)"
11863015,JC475301,10/16/2019 06:02:00 PM,101XX S RHODES AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,0511,005,9,49,04A,1181697,1837895,2019,10/23/2019 04:17:05 PM,41.710412704,-87.610196805,"(41.710412704, -87.610196805)"
11862576,JC474759,10/16/2019 12:10:00 PM,0000X S KEELER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1115,011,28,26,15,1148397,1899594,2019,10/23/2019 04:17:05 PM,41.880427005,-87.730564341,"(41.880427005, -87.730564341)"
